G1,G2,G3,G4,G5,G6,G7,G8,G9
0.9100195,0.0002567,0.824818,0.4247592,0.8252302,0.0303743,0.7197392,0.2422052,0.8651837
1.02158,0.0001766,0.798824,0.484756,1.0223396,0.0513806,0.7135625,0.1690857,0.8869857
0.4961056,0.0248109,0.6440675,0.5174753,0.8134639,0.1039861,1.0461821,0.0343362,0.6669734
0.3998975,0.0469172,0.5080799,0.5876724,1.0536474,0.0573953,1.011594,0.1253585,0.5836807
0.9573661,0.0081518,0.6692099,0.4678655,0.8022726,0.0687201,1.0023716,0.6163911,0.8777981
0.8476287,0.0082868,0.6733978,0.4451074,0.9669177,0.0283135,1.066193,0.7205333,1.0792747
1.1156949,0.0081926,0.7997935,0.4676746,0.9119582,0.0400596,0.9136007,0.8903872,1.0819465
0.6720631,0.5916517,0.8658544,0.44267,0.5268294,0.0887636,1.0744843,0.8274227,1.0999708
0.4877055,0.5450211,0.6746886,0.5194512,0.5182599,0.0705744,1.0750618,0.8160642,1.0211483
0.9419657,0.0399372,0.8554606,0.3810624,0.9472593,0.0781131,1.0599929,0.7779757,1.0756795
0.9092004,0.0014229,0.3487397,0.4895529,0.61333,0.0466402,0.911221,1.0291332,0.9058229
1.0319514,0.4771472,0.5643485,0.3411135,0.4747734,0.171115,0.8827233,0.9597742,0.9963364
0.8658024,0.5217431,0.5613046,0.3518871,0.4128078,0.1764297,0.9554083,0.9113598,0.9869138
1.0531103,0.5260606,0.3863484,0.5636425,0.3721905,0.3146305,0.8777759,0.7832566,0.8671722
0.9823354,0.5041974,0.3111427,0.3429792,0.3423875,0.3788341,0.8759206,0.6705052,0.9971265
1.0936487,0.0911091,0.9597198,0.4242432,0.8966924,0.1004029,0.9621308,0.8087133,1.0814395
0.8550365,0.0115668,0.5118606,0.4833968,0.8485567,0.1225702,0.6591628,0.8123772,0.8518229
0.9290637,0.0815051,0.7454536,0.3304989,0.5267923,0.1506912,0.8236119,0.8923005,0.8405359
0.9368632,0.0868342,0.7236779,0.4559138,0.4769888,0.1113014,0.8859049,0.785429,0.77908
0.8710057,0.0691501,0.5367629,0.4553958,0.7071344,0.1678586,0.9019187,0.8003053,0.7987336
1.0187551,0.0900494,0.7136917,0.4820893,0.5139945,0.184316,0.9531786,0.7986719,0.901123
0.8614358,0.1440373,0.5046851,0.4088177,0.4922103,0.1263896,0.9980981,0.8037186,0.9582614
1.0412514,0.1112909,0.5561119,0.430506,0.4520826,0.2020862,1.0262131,0.7769989,0.8618862
0.9772551,0.1141742,0.4713605,0.5456234,0.5209344,0.2359962,0.9476198,0.8279896,0.6390302
1.0316707,0.0595796,0.4838922,0.5043277,0.3751599,0.1754662,0.8421981,0.7830993,0.949889
1.0611364,0.1351357,0.2910766,0.5752873,0.581051,0.2771945,1.0053214,0.905434,0.8784085
0.9150097,0.0916948,0.4550103,0.5003835,0.547487,0.2367681,0.9223504,0.8125587,0.7948163
0.9942357,0.0292301,0.7708588,0.2374194,0.9443039,0.0268728,0.3498952,0.8182745,0.8905558
0.8224988,0.0074212,0.6097877,0.3347578,0.8936557,0.0267866,0.2790828,0.4422238,0.9455925
1.1082129,0.005282,0.3934251,0.2695382,1.0513668,0.0630901,0.3953371,0.4005804,0.9012542
0.8137679,0.0198003,0.5394784,0.3726755,0.9032727,0.0257866,0.3114555,0.3609501,0.9558567
0.9603221,0.0282192,0.7543303,0.4299128,0.814437,0.0702379,0.8451297,0.5439165,0.8522157
0.9325083,0.0056921,0.6747336,0.4189622,0.799537,0.0801361,1.0535977,0.6077676,1.0028311
0.9139878,0.0984131,0.6230707,0.5172972,0.87345,0.0506546,0.9153276,0.5584544,1.0509522
1.015726,0.0082192,0.4336849,0.5003857,0.827444,0.0707038,1.0629103,0.6271315,0.8740576
0.9771312,0.0113709,0.6251922,0.534758,0.7977136,0.0691127,1.049842,0.4255585,1.0295669
1.0918479,0.0060959,0.5620818,0.3661442,0.863303,0.1140038,1.2857366,0.5594143,1.0890975
0.9703938,0.0165776,0.468028,0.3454908,0.8725345,0.0930819,0.9360238,0.5444696,0.8739151
1.067644,0.0102329,0.737103,0.297114,0.8192193,0.0978225,1.0233808,0.5719142,0.8621676
0.883822,0.0189704,0.4283706,0.4390513,0.9867751,0.1207258,0.9058764,0.5087448,0.8153355
1.1030079,0.068305,0.607285,0.4752766,0.8111985,0.0227945,1.0556861,0.4778829,1.0471571
0.9927539,0.0312199,0.301399,0.4473542,0.7813721,0.0555787,0.8549559,0.5350386,0.9431915
1.0353973,0.0301068,0.5588544,0.4396947,1.0848178,0.0894467,0.9689921,0.5913404,1.1278121
0.9829871,0.0204663,0.8192403,0.4307925,0.9280311,0.0837793,0.9781854,0.7041927,1.2287037
1.1215647,0.4023189,0.3341813,0.443403,0.1682436,0.9112967,1.1469992,0.7976529,0.9631993
1.0857546,0.1756391,0.601008,0.4782621,0.641931,0.1318209,0.9854143,0.8707875,1.0837958
1.0657985,0.198982,0.6918189,0.4259268,0.7619311,0.0980274,0.9631425,0.0136984,0.9582148
0.8882055,0.0369084,0.2220385,0.4305356,0.7235999,0.1169911,0.9527363,0.7272267,1.0438015
0.739548,0.0543477,0.4251665,0.3937302,0.4572532,0.0857793,0.8580509,0.6585003,0.9790477
0.6946555,0.055337,0.260795,0.4482015,0.6983597,0.1454073,1.0433114,0.8700955,0.9868949
0.7573509,0.0919655,0.3962257,0.5936003,0.7733941,0.111479,1.1118186,0.7392672,1.1357237
0.7252225,0.030636,0.3658514,0.506601,0.5363028,0.1656818,1.1676116,0.6644482,0.9134868
0.8001466,0.1029937,0.4708376,0.5874905,0.6423682,0.115925,1.040094,0.0038998,0.9565423
0.6257203,0.0323341,0.4591909,0.4117179,0.7917195,0.1096411,1.0377409,0.0095157,1.0512381
0.7624602,0.029055,0.4662455,0.4827344,0.7032723,0.1511858,0.9168559,0.0025682,1.0383426
0.8089922,0.056671,0.5536161,0.5340824,0.7458113,0.1019844,0.9667332,0.0108892,1.1021273
0.8292207,0.0492618,0.7190158,0.4717862,0.6614876,0.1285573,0.9243867,0.0032176,0.9870628
0.9399053,0.0426334,0.0145652,0.4810801,0.6717071,0.0847132,0.2896193,0.0033899,0.8841724
0.7913272,0.0561685,0.0585773,0.3980452,0.6244939,0.0869784,0.2267398,0.0095832,0.9329296
0.9164549,0.0633004,0.0125572,0.4977793,0.6617388,0.1610547,0.3284856,0.0029971,0.9623041
0.7944561,0.0695843,0.0079979,0.4644139,0.6647741,0.1781128,0.3958413,0.0078049,0.9467151
0.8325369,0.0564965,0.0315717,0.5290427,0.6249887,0.0921003,0.3765547,0.0092544,1.0010362
